,College,F24 Enrollment Count,F24Retention Count,F24Success Count,F24Retention Rate,F24Success Rate,S24Enrollment Count,S24Retention Count,S24Success Count,S24Retention Rate,S24Success Rate,College Name
30,Non Distance Education Methods Total,748,696,574,93.05%,76.74%,660,599,449,90.76%,68.03%,Sequoias Total
31,Accounting-050200,189,177,141,93.65%,74.60%,181,162,116,89.50%,64.09%,Sequoias Total
32,"Business and Commerce, General-050100",458,424,346,92.58%,75.55%,400,360,266,90.00%,66.50%,Sequoias Total
33,Business Management-050600,44,40,36,90.91%,81.82%,34,34,31,100.00%,91.18%,Sequoias Total
34,Office Technology/Office Computer Applications-051400,28,28,27,100.00%,96.43%,0,0,0,0,0,Sequoias Total
35,Sales and Salesmanship-050940,0,0,0,0,0,20,19,16,95.00%,80.00%,Sequoias Total
36,Small Business and Entrepreneurship-050640,29,27,24,93.10%,82.76%,25,24,20,96.00%,80.00%,Sequoias Total
37,Shasta Total,"2,359","2,210","1,811",93.68%,76.77%,"1,989","1,839","1,447",92.46%,72.75%,Shasta Total
38,Delayed Interaction (Internet Based) Total,"2,210","2,066","1,688",93.48%,76.38%,"1,913","1,770","1,393",92.52%,72.82%,Shasta Total
39,Accounting-050200,351,308,233,87.75%,66.38%,303,274,224,90.43%,73.93%,Shasta Total
40,Banking and Finance-050400,32,30,27,93.75%,84.38%,0,0,0,0,0,Shasta Total
41,Business Administration-050500,214,196,156,91.59%,72.90%,186,172,141,92.47%,75.81%,Shasta Total
42,"Business and Commerce, General-050100",523,496,428,94.84%,81.84%,451,428,339,94.90%,75.17%,Shasta Total
43,Business Management-050600,362,349,298,96.41%,82.32%,360,348,278,96.67%,77.22%,Shasta Total
44,Customer Service-051800,47,45,36,95.74%,76.60%,52,51,39,98.08%,75.00%,Shasta Total
45,Marketing and Distribution-050900,150,147,128,98.00%,85.33%,125,117,104,93.60%,83.20%,Shasta Total
46,Medical Office Technology-051420,21,20,16,95.24%,76.19%,14,12,6,85.71%,42.86%,Shasta Total
47,Office Management-051440,36,31,21,86.11%,58.33%,29,23,13,79.31%,44.83%,Shasta Total
48,Office Technology/Office Computer Applications-051400,234,216,165,92.31%,70.51%,231,198,143,85.71%,61.90%,Shasta Total
49,Small Business and Entrepreneurship-050640,210,202,157,96.19%,74.76%,162,147,106,90.74%,65.43%,Shasta Total
0,Tax Studies-050210,30,26,23,86.67%,76.67%,0,0,0,0,0,Shasta Total
1,Non Distance Education Methods Total,149,144,123,96.64%,82.55%,76,69,54,90.79%,71.05%,Shasta Total
2,Accounting-050200,28,26,16,92.86%,57.14%,35,32,22,91.43%,62.86%,Shasta Total
3,"Business and Commerce, General-050100",41,38,30,92.68%,73.17%,34,32,27,94.12%,79.41%,Shasta Total
4,Business Management-050600,64,64,61,100.00%,95.31%,0,0,0,0,0,Shasta Total
5,Office Technology/Office Computer Applications-051400,16,16,16,100.00%,100.00%,7,5,5,71.43%,71.43%,Shasta Total
6,Sierra Total,"3,248","2,940","2,607",90.52%,80.26%,"3,080","2,797","2,508",90.81%,81.43%,Sierra Total
7,Delayed Interaction (Internet Based) Total,"2,531","2,273","2,013",89.81%,79.53%,"2,402","2,156","1,920",89.76%,79.93%,Sierra Total
8,Accounting-050200,835,762,680,91.26%,81.44%,779,715,646,91.78%,82.93%,Sierra Total
9,Advertising-050910,33,26,18,78.79%,54.55%,35,28,24,80.00%,68.57%,Sierra Total
10,Business Administration-050500,687,623,551,90.68%,80.20%,572,531,465,92.83%,81.29%,Sierra Total
11,"Business and Commerce, General-050100",225,209,184,92.89%,81.78%,185,161,145,87.03%,78.38%,Sierra Total
12,Business Management-050600,83,74,65,89.16%,78.31%,100,91,78,91.00%,78.00%,Sierra Total
13,Customer Service-051800,24,21,20,87.50%,83.33%,25,21,21,84.00%,84.00%,Sierra Total
14,International Business and Trade-050800,15,14,12,93.33%,80.00%,0,0,0,0,0,Sierra Total
15,Management Development and Supervision-050630,86,84,76,97.67%,88.37%,104,101,87,97.12%,83.65%,Sierra Total
16,Marketing and Distribution-050900,106,99,93,93.40%,87.74%,68,57,52,83.82%,76.47%,Sierra Total
17,Office Technology/Office Computer Applications-051400,246,192,162,78.05%,65.85%,254,204,190,80.31%,74.80%,Sierra Total
18,Real Estate-051100,80,65,62,81.25%,77.50%,94,81,68,86.17%,72.34%,Sierra Total
19,Sales and Salesmanship-050940,35,33,30,94.29%,85.71%,34,30,27,88.24%,79.41%,Sierra Total
20,Small Business and Entrepreneurship-050640,76,71,60,93.42%,78.95%,152,136,117,89.47%,76.97%,Sierra Total
21,Non Distance Education Methods Total,671,622,551,92.70%,82.12%,628,592,541,94.27%,86.15%,Sierra Total
22,Accounting-050200,97,87,76,89.69%,78.35%,151,139,129,92.05%,85.43%,Sierra Total
23,Business Administration-050500,224,209,186,93.30%,83.04%,310,290,257,93.55%,82.90%,Sierra Total
24,"Business and Commerce, General-050100",193,187,169,96.89%,87.56%,56,55,51,98.21%,91.07%,Sierra Total
25,Marketing and Distribution-050900,31,29,22,93.55%,70.97%,33,30,28,90.91%,84.85%,Sierra Total
26,Real Estate-051100,29,20,16,68.97%,55.17%,0,0,0,0,0,Sierra Total
27,Small Business and Entrepreneurship-050640,97,90,82,92.78%,84.54%,78,78,76,100.00%,97.44%,Sierra Total
28,Simultaneous Interaction (Internet Based) Total,46,45,43,97.83%,93.48%,50,49,47,98.00%,94.00%,Sierra Total
29,Accounting-050200,46,45,43,97.83%,93.48%,50,49,47,98.00%,94.00%,Sierra Total
30,Siskiyous Total,112,102,91,91.07%,81.25%,123,108,82,87.80%,66.67%,Siskiyous Total
31,Delayed Interaction (Internet Based) Total,112,102,91,91.07%,81.25%,123,108,82,87.80%,66.67%,Siskiyous Total
32,Accounting-050200,45,38,32,84.44%,71.11%,54,47,31,87.04%,57.41%,Siskiyous Total
33,Business Administration-050500,37,34,30,91.89%,81.08%,33,27,23,81.82%,69.70%,Siskiyous Total
34,Business Management-050600,30,30,29,100.00%,96.67%,17,15,9,88.24%,52.94%,Siskiyous Total
35,Office Technology/Office Computer Applications-051400,0,0,0,0,0,19,19,19,100.00%,100.00%,Siskiyous Total
36,Skyline Total,"1,404","1,201","1,011",85.54%,72.01%,"1,255","1,092",936,87.01%,74.58%,Skyline Total
37,Delayed Interaction (Internet Based) Total,351,300,267,85.47%,76.07%,269,227,198,84.39%,73.61%,Skyline Total
38,Accounting-050200,82,72,67,87.80%,81.71%,104,87,62,83.65%,59.62%,Skyline Total
39,Business Administration-050500,0,0,0,0,0,3,1,1,33.33%,33.33%,Skyline Total
40,"Business and Commerce, General-050100",112,88,82,78.57%,73.21%,88,72,68,81.82%,77.27%,Skyline Total
41,Business Management-050600,12,11,8,91.67%,66.67%,0,0,0,0,0,Skyline Total
42,Management Development and Supervision-050630,28,25,23,89.29%,82.14%,0,0,0,0,0,Skyline Total
43,Marketing and Distribution-050900,26,21,19,80.77%,73.08%,37,35,35,94.59%,94.59%,Skyline Total
44,Office Technology/Office Computer Applications-051400,80,74,61,92.50%,76.25%,37,32,32,86.49%,86.49%,Skyline Total
45,Small Business and Entrepreneurship-050640,11,9,7,81.82%,63.64%,0,0,0,0,0,Skyline Total
46,Non Distance Education Methods Total,"1,053",901,744,85.57%,70.66%,986,865,738,87.73%,74.85%,Skyline Total
47,Accounting-050200,225,193,152,85.78%,67.56%,210,170,145,80.95%,69.05%,Skyline Total
48,Banking and Finance-050400,50,43,32,86.00%,64.00%,28,23,20,82.14%,71.43%,Skyline Total
49,Business Administration-050500,0,0,0,0,0,44,40,33,90.91%,75.00%,Skyline Total
0,"Business and Commerce, General-050100",279,257,214,92.11%,76.70%,261,236,215,90.42%,82.38%,Skyline Total
1,Business Management-050600,0,0,0,0,0,10,8,8,80.00%,80.00%,Skyline Total
2,Management Development and Supervision-050630,0,0,0,0,0,30,28,16,93.33%,53.33%,Skyline Total
3,Marketing and Distribution-050900,41,23,18,56.10%,43.90%,20,18,10,90.00%,50.00%,Skyline Total
4,Medical Office Technology-051420,157,133,122,84.71%,77.71%,132,118,110,89.39%,83.33%,Skyline Total
5,Office Technology/Office Computer Applications-051400,95,79,65,83.16%,68.42%,185,164,138,88.65%,74.59%,Skyline Total
6,Real Estate-051100,110,95,74,86.36%,67.27%,49,45,33,91.84%,67.35%,Skyline Total
7,Sales and Salesmanship-050940,26,21,16,80.77%,61.54%,0,0,0,0,0,Skyline Total
8,Small Business and Entrepreneurship-050640,45,34,29,75.56%,64.44%,0,0,0,0,0,Skyline Total
9,Tax Studies-050210,25,23,22,92.00%,88.00%,17,15,10,88.24%,58.82%,Skyline Total
10,Solano Total,"1,137",957,755,84.17%,66.40%,"1,032",874,703,84.69%,68.12%,Solano Total
11,Delayed Interaction (Internet Based) Total,834,704,546,84.41%,65.47%,772,642,511,83.16%,66.19%,Solano Total
12,Accounting-050200,182,172,144,94.51%,79.12%,240,210,171,87.50%,71.25%,Solano Total
13,Banking and Finance-050400,34,30,26,88.24%,76.47%,33,29,23,87.88%,69.70%,Solano Total
14,"Business and Commerce, General-050100",333,281,222,84.38%,66.67%,239,199,154,83.26%,64.44%,Solano Total
15,Business Management-050600,83,54,43,65.06%,51.81%,93,62,51,66.67%,54.84%,Solano Total
16,Logistics and Materials Transportation-051000,0,0,0,0,0,21,20,20,95.24%,95.24%,Solano Total
17,Marketing and Distribution-050900,68,53,40,77.94%,58.82%,0,0,0,0,0,Solano Total
18,Real Estate-051100,134,114,71,85.07%,52.99%,146,122,92,83.56%,63.01%,Solano Total
19,Non Distance Education Methods Total,303,253,209,83.50%,68.98%,260,232,192,89.23%,73.85%,Solano Total
20,Accounting-050200,125,109,93,87.20%,74.40%,66,53,44,80.30%,66.67%,Solano Total
21,"Business and Commerce, General-050100",178,144,116,80.90%,65.17%,182,169,138,92.86%,75.82%,Solano Total
22,Medical Office Technology-051420,0,0,0,0,0,12,10,10,83.33%,83.33%,Solano Total
23,Southwestern Total,"4,086","3,312","2,507",81.06%,61.36%,"4,208","3,434","2,721",81.61%,64.66%,Southwestern Total
24,Delayed Interaction (Internet Based) Total,"3,265","2,575","1,851",78.87%,56.69%,"3,365","2,684","2,049",79.76%,60.89%,Southwestern Total
25,Accounting-050200,817,635,481,77.72%,58.87%,895,705,540,78.77%,60.34%,Southwestern Total
26,Banking and Finance-050400,206,153,116,74.27%,56.31%,191,141,120,73.82%,62.83%,Southwestern Total
27,"Business and Commerce, General-050100","1,065",838,557,78.69%,52.30%,829,667,519,80.46%,62.61%,Southwestern Total
28,Business Management-050600,85,59,58,69.41%,68.24%,101,89,77,88.12%,76.24%,Southwestern Total
29,Insurance-051200,31,21,11,67.74%,35.48%,32,22,6,68.75%,18.75%,Southwestern Total
30,International Business and Trade-050800,54,22,15,40.74%,27.78%,45,40,21,88.89%,46.67%,Southwestern Total
31,Logistics and Materials Transportation-051000,54,51,32,94.44%,59.26%,57,43,27,75.44%,47.37%,Southwestern Total
32,Management Development and Supervision-050630,156,128,75,82.05%,48.08%,57,47,37,82.46%,64.91%,Southwestern Total
33,Marketing and Distribution-050900,19,16,13,84.21%,68.42%,21,10,9,47.62%,42.86%,Southwestern Total
34,Office Technology/Office Computer Applications-051400,470,407,300,86.60%,63.83%,812,697,532,85.84%,65.52%,Southwestern Total
35,Real Estate-051100,250,188,147,75.20%,58.80%,255,174,122,68.24%,47.84%,Southwestern Total
36,Sales and Salesmanship-050940,58,57,46,98.28%,79.31%,53,39,31,73.58%,58.49%,Southwestern Total
37,Small Business and Entrepreneurship-050640,0,0,0,0,0,17,10,8,58.82%,47.06%,Southwestern Total
38,Non Distance Education Methods Total,821,737,656,89.77%,79.90%,843,750,672,88.97%,79.72%,Southwestern Total
39,Accounting-050200,260,214,184,82.31%,70.77%,203,158,129,77.83%,63.55%,Southwestern Total
40,Banking and Finance-050400,112,109,109,97.32%,97.32%,144,140,136,97.22%,94.44%,Southwestern Total
41,"Business and Commerce, General-050100",284,261,233,91.90%,82.04%,402,368,327,91.54%,81.34%,Southwestern Total
42,Business Management-050600,14,11,11,78.57%,78.57%,36,27,24,75.00%,66.67%,Southwestern Total
43,Logistics and Materials Transportation-051000,15,15,15,100.00%,100.00%,0,0,0,0,0,Southwestern Total
44,Management Development and Supervision-050630,52,49,49,94.23%,94.23%,28,27,26,96.43%,92.86%,Southwestern Total
45,Office Technology/Office Computer Applications-051400,84,78,55,92.86%,65.48%,30,30,30,100.00%,100.00%,Southwestern Total
46,Taft Total,970,884,564,91.13%,58.14%,473,448,319,94.71%,67.44%,Taft Total
47,Delayed Instruction Total,4,2,2,50.00%,50.00%,0,0,0,0,0,Taft Total
48,Office Technology/Office Computer Applications-051400,4,2,2,50.00%,50.00%,0,0,0,0,0,Taft Total
49,Delayed Interaction (Internet Based) Total,774,706,418,91.21%,54.01%,335,316,243,94.33%,72.54%,Taft Total
0,Accounting-050200,22,20,12,90.91%,54.55%,13,12,5,92.31%,38.46%,Taft Total
1,Business Administration-050500,432,390,216,90.28%,50.00%,166,154,113,92.77%,68.07%,Taft Total
2,"Business and Commerce, General-050100",54,54,26,100.00%,48.15%,18,18,15,100.00%,83.33%,Taft Total
3,Court Reporting-051430,32,30,26,93.75%,81.25%,14,12,10,85.71%,71.43%,Taft Total
4,Management Development and Supervision-050630,160,148,94,92.50%,58.75%,70,68,60,97.14%,85.71%,Taft Total
5,Office Technology/Office Computer Applications-051400,68,58,42,85.29%,61.76%,54,52,40,96.30%,74.07%,Taft Total
6,Small Business and Entrepreneurship-050640,6,6,2,100.00%,33.33%,0,0,0,0,0,Taft Total
7,Non Distance Education Methods Total,192,176,144,91.67%,75.00%,138,132,76,95.65%,55.07%,Taft Total
8,Business Administration-050500,82,74,60,90.24%,73.17%,11,10,8,90.91%,72.73%,Taft Total
9,Court Reporting-051430,86,78,64,90.70%,74.42%,61,56,46,91.80%,75.41%,Taft Total
10,Management Development and Supervision-050630,24,24,20,100.00%,83.33%,66,66,22,100.00%,33.33%,Taft Total
11,Ventura Total,578,188,157,32.53%,27.16%,"1,943","1,728","1,488",88.93%,76.58%,Ventura Total
12,Delayed Interaction (Internet Based) Total,471,91,84,19.32%,17.83%,"1,778","1,590","1,362",89.43%,76.60%,Ventura Total
13,Accounting-050200,192,91,84,47.40%,43.75%,487,443,355,90.97%,72.90%,Ventura Total
14,Banking and Finance-050400,0,0,0,0,0,17,12,10,70.59%,58.82%,Ventura Total
15,Business Management-050600,196,0,0,0.00%,0.00%,803,716,615,89.17%,76.59%,Ventura Total
16,Marketing and Distribution-050900,46,0,0,0.00%,0.00%,167,134,123,80.24%,73.65%,Ventura Total
17,Medical Office Technology-051420,29,0,0,0.00%,0.00%,266,252,231,94.74%,86.84%,Ventura Total
18,Office Technology/Office Computer Applications-051400,8,0,0,0.00%,0.00%,38,33,28,86.84%,73.68%,Ventura Total
19,Non Distance Education Methods Total,107,97,73,90.65%,68.22%,165,138,126,83.64%,76.36%,Ventura Total
20,Accounting-050200,37,35,24,94.59%,64.86%,34,32,28,94.12%,82.35%,Ventura Total
21,Business Management-050600,34,32,21,94.12%,61.76%,79,67,61,84.81%,77.22%,Ventura Total
22,Medical Office Technology-051420,36,30,28,83.33%,77.78%,52,39,37,75.00%,71.15%,Ventura Total
23,Victor Valley Total,0,0,0,0,0,"1,955","1,723","1,324",88.13%,67.72%,Victor Valley Total
24,Delayed Interaction (Internet Based) Total,0,0,0,0,0,"1,488","1,338","1,024",89.92%,68.82%,Victor Valley Total
25,Accounting-050200,0,0,0,0,0,296,247,207,83.45%,69.93%,Victor Valley Total
26,Business Management-050600,0,0,0,0,0,504,470,368,93.25%,73.02%,Victor Valley Total
27,Management Development and Supervision-050630,0,0,0,0,0,24,22,19,91.67%,79.17%,Victor Valley Total
28,Marketing and Distribution-050900,0,0,0,0,0,68,60,39,88.24%,57.35%,Victor Valley Total
29,Office Technology/Office Computer Applications-051400,0,0,0,0,0,361,334,231,92.52%,63.99%,Victor Valley Total
30,Real Estate-051100,0,0,0,0,0,163,146,132,89.57%,80.98%,Victor Valley Total
31,Small Business and Entrepreneurship-050640,0,0,0,0,0,72,59,28,81.94%,38.89%,Victor Valley Total
32,Non Distance Education Methods Total,0,0,0,0,0,338,291,238,86.09%,70.41%,Victor Valley Total
33,Accounting-050200,0,0,0,0,0,96,78,76,81.25%,79.17%,Victor Valley Total
34,Business Administration-050500,0,0,0,0,0,35,35,31,100.00%,88.57%,Victor Valley Total
35,Business Management-050600,0,0,0,0,0,67,59,44,88.06%,65.67%,Victor Valley Total
36,Office Technology/Office Computer Applications-051400,0,0,0,0,0,45,42,23,93.33%,51.11%,Victor Valley Total
37,Real Estate-051100,0,0,0,0,0,62,44,35,70.97%,56.45%,Victor Valley Total
38,Small Business and Entrepreneurship-050640,0,0,0,0,0,33,33,29,100.00%,87.88%,Victor Valley Total
39,"Text one-way (e.g. newspaper, correspondence, etc.) Total",0,0,0,0,0,129,94,62,72.87%,48.06%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
40,Accounting-050200,0,0,0,0,0,77,50,33,64.94%,42.86%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
41,Business Management-050600,0,0,0,0,0,52,44,29,84.62%,55.77%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
42,West Hills Coalinga Total,389,356,307,91.52%,78.92%,332,303,270,91.27%,81.33%,West Hills Coalinga Total
43,Delayed Interaction (Internet Based) Total,198,174,138,87.88%,69.70%,224,203,172,90.63%,76.79%,West Hills Coalinga Total
44,Business Management-050600,150,133,106,88.67%,70.67%,162,146,123,90.12%,75.93%,West Hills Coalinga Total
45,Office Technology/Office Computer Applications-051400,48,41,32,85.42%,66.67%,62,57,49,91.94%,79.03%,West Hills Coalinga Total
46,Non Distance Education Methods Total,191,182,169,95.29%,88.48%,108,100,98,92.59%,90.74%,West Hills Coalinga Total
47,Accounting-050200,60,54,53,90.00%,88.33%,98,91,89,92.86%,90.82%,West Hills Coalinga Total
48,Business Management-050600,131,128,116,97.71%,88.55%,10,9,9,90.00%,90.00%,West Hills Coalinga Total
49,West Hills Lemoore Total,509,462,420,90.77%,82.51%,522,471,397,90.23%,76.05%,West Hills Lemoore Total
0,Delayed Interaction (Internet Based) Total,255,232,217,90.98%,85.10%,261,233,196,89.27%,75.10%,West Hills Lemoore Total
1,Business Management-050600,202,179,167,88.61%,82.67%,234,212,177,90.60%,75.64%,West Hills Lemoore Total
2,Office Technology/Office Computer Applications-051400,53,53,50,100.00%,94.34%,27,21,19,77.78%,70.37%,West Hills Lemoore Total
3,Non Distance Education Methods Total,254,230,203,90.55%,79.92%,261,238,201,91.19%,77.01%,West Hills Lemoore Total
4,Accounting-050200,142,124,105,87.32%,73.94%,130,113,88,86.92%,67.69%,West Hills Lemoore Total
5,"Business and Commerce, General-050100",6,3,3,50.00%,50.00%,13,9,8,69.23%,61.54%,West Hills Lemoore Total
6,Business Management-050600,106,103,95,97.17%,89.62%,42,40,34,95.24%,80.95%,West Hills Lemoore Total
7,Office Technology/Office Computer Applications-051400,0,0,0,0,0,49,49,44,100.00%,89.80%,West Hills Lemoore Total
8,Small Business and Entrepreneurship-050640,0,0,0,0,0,27,27,27,100.00%,100.00%,West Hills Lemoore Total
9,West LA Total,"1,175","1,036",835,88.17%,71.06%,"1,617","1,412","1,080",87.32%,66.79%,West LA Total
10,Delayed Interaction (Internet Based) Total,"1,113",974,786,87.51%,70.62%,"1,480","1,276",978,86.22%,66.08%,West LA Total
11,Accounting-050200,194,159,142,81.96%,73.20%,289,213,165,73.70%,57.09%,West LA Total
12,Banking and Finance-050400,15,13,11,86.67%,73.33%,22,21,12,95.45%,54.55%,West LA Total
13,Business Administration-050500,375,342,284,91.20%,75.73%,398,376,295,94.47%,74.12%,West LA Total
14,Business Management-050600,137,122,104,89.05%,75.91%,208,189,130,90.87%,62.50%,West LA Total
15,Marketing and Distribution-050900,118,115,81,97.46%,68.64%,141,136,94,96.45%,66.67%,West LA Total
16,Office Technology/Office Computer Applications-051400,23,14,4,60.87%,17.39%,20,17,8,85.00%,40.00%,West LA Total
17,Real Estate-051100,251,209,160,83.27%,63.75%,402,324,274,80.60%,68.16%,West LA Total
18,Non Distance Education Methods Total,62,62,49,100.00%,79.03%,106,105,71,99.06%,66.98%,West LA Total
19,Business Administration-050500,62,62,49,100.00%,79.03%,0,0,0,0,0,West LA Total
20,Marketing and Distribution-050900,0,0,0,0,0,34,34,12,100.00%,35.29%,West LA Total
21,Real Estate-051100,0,0,0,0,0,72,71,59,98.61%,81.94%,West LA Total
22,Simultaneous Interaction (Internet Based) Total,0,0,0,0,0,31,31,31,100.00%,100.00%,West LA Total
23,Real Estate-051100,0,0,0,0,0,31,31,31,100.00%,100.00%,West LA Total
24,West Valley Total,"1,144",987,853,86.28%,74.56%,"1,051",924,730,87.92%,69.46%,West Valley Total
